52902734,SCEA DES TROIS VALLEES,48.5358825,-4.6051846,{},{}
52902918,SCEA ROMAIN RIOU,48.5120805,-4.205723,{},{}
52903136,SCEA DAVID RIOU,48.5854726,-3.9636411,{},{}
52903311,EARL DE RUOT,47.9664753,-4.3263508,{},{}
52903755,EARL DE KERVENAN,48.557069,-4.6349047,{},{}
52903875,EARL DU COSQUER,48.4792138,-4.3362597,{},{}
52904150,EARL DU COSQUER,48.603826,-3.8995821,{},{}
53502861,SARL SELECT PORC,48.1773634,-2.173272,{},{}
53700604,SAS LA FENNETRIE,47.0683169,0.1854265,{},{}
54400640,SCEA DE SAINT YVES,47.6511086,-1.88464972949102,{},{}
54400843,SARL LD PORSAIN,46.8988469,-1.6219334,{},{}
54900308,MAUSSIONNAIE (SCEA DE LA),47.63041605,-1.083621243348467,{},{}
55100276,SCEA LES ROULIERS,48.9105864,4.6239934,{},{}
55301640,SARL GRAVIER (DU),47.9516322,-0.9755321,{},{}
55601173,SCEA DU DOMAINE,48.0527072,-2.4336571,{},{}
55601806,SCEA PINIER JOSSO,47.5417803,-2.324149,{},{}
55602044,SARL MAHE,47.7522313,-2.6772254,{},{}
55614993,SCEA KERGAL JOUAN,47.8789753,-2.7915557,{},{}
57600151,SCEA GENE CAUX,49.6556672,0.5889925685924293,{},{}
57601446,SCEA DE LA TIRELIRE,49.8050152,1.0515461,{},{}
57900544,SCEA COSMOPORC,46.5327607,-0.4322703,{},{}
57900586,SCEA PROPORCS,46.3251806,-0.0330713,{},{}
58502486,EARL ELEVAGE DE LA MAINE,46.8337454,-1.1915515,{},{}
58600274,SCEA PORC BEL AIR,46.1638958,0.1818926,{},{}
52902083,EARL JEZEQUEL,48.4951129,-3.886697,{},{}
52901620,GAEC LE CAM,48.3435015,-3.6877707,{},{}
52902742,EARL DE LESCOAT,48.5252677,-4.5976893,{},{}
54901937,PASSERELLE (GAEC DE LA),47.2640096,-0.7611395,{},{}
55600689,SARL LE MENE,48.014294,-2.7720604,{},{}
55901990,EARL DES SAPINS,50.805841,2.4395083,{},{01089100}
52902919,SCEA POULIQUEN,48.5161379,-4.21393,{},{}
55614826,SCEA LE PONT CAR,47.7586028,-2.7669786,{},{}
3302330,GAEC CHAVANOSSE,46.4645286,5.2476686,{},{}
54900781,ROIRIE (SCEA DE LA),47.722668,-0.8275581,{},{}
51201301,SCEA AIR PORC,44.4805753,2.1009971,{},{}
53502451,SCEA MEZIN,47.880898,-1.3289408,{},{}
52901177,SARL KERDONCUFF,48.35032012113821,-4.222483546341463,{},{}
54300408,COSTE CHAUDE (SCEA DE),45.3620828,3.2218838,{},{}
